task_number,task_score,restarted_mid_task
2,12.0567934513,1
1,14.2729010582,1
1,4.3781736703,0
2,9.6784193103,0
3,24.7552406788,1
1,7.5208010484,0
2,11.6756638904,0
3,17.7687835693,1
1,17.7375340462,1
1,17.9310479164,1
1,18.2610275745,1
1,11.7976254586,0
2,6.0091069377,0
3,18.2839865685,1
1,21.3547693764,0
1,5.7664742961,0
2,20.6006255150,1
1,14.1746518555,0
2,8.7261250019,1
1,16.7902078629,1
1,16.4231522083,1
1,7.9304649241,0
2,3.8551155351,0
3,19.1148233414,1
1,22.1845886707,1
1,16.1817154884,1
1,16.0390827656,1
1,11.7900597325,0
2,10.1819726324,0
3,14.0157229900,1
1,12.5437862986,0
2,12.5265169144,1
1,16.6165816784,1
1,9.6475330357,0
2,11.8407862186,1
1,16.5090873241,1
1,12.4755503848,0
2,12.1160495281,1
1,13.3225117924,0
2,9.9575836658,1
1,2.9801565179,0
2,17.9206209183,1
1,14.5785634518,1
1,15.8753378391,1
1,15.8495135307,1
1,15.7836806774,1
1,15.6489178542,0
1,16.1989095211,1
1,15.7256026268,1
1,15.7440934181,1
1,14.7932024002,1
1,15.7973577976,1
1,15.6083714962,1
1,9.1549540374,0
2,11.6233019829,1
1,4.7370443358,0
2,16.1385762110,1
1,14.7891840935,1
1,16.3226866722,1
1,15.9328701496,1
1,10.7115295437,0
2,5.5474061613,0
3,22.6505892277,1
1,7.3992010627,0
2,10.4351162910,1
1,16.6935696602,1
1,15.3489856953,0
2,2.9424364556,0
3,18.4587664604,1
1,7.2118632390,0
2,13.0025296211,1
1,16.3161728382,1
1,16.0078303814,1
1,14.8899185824,0
2,7.0714805502,0
3,14.0287699699,1
1,11.7020371123,0
2,9.1815311909,1
1,13.2491455078,1
1,10.3534107750,0
2,10.8683159351,1
1,11.0259361267,1
1,14.7153153419,1
1,13.4562722133,0
2,8.2489814758,1
1,15.9390649796,1
1,15.6255383492,1
1,15.8679664135,1
1,15.1169113722,0
1,12.8772022023,0
2,9.1803524494,1
1,10.8073391238,0
2,3.4467872403,0
3,19.4722502232,1
1,15.0089793205,1
1,15.6234090328,1
